SectorCode,Sector,Region,regioncode,kpi,year,value
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Al Jawf,AJA,Investments,2015,1234.857348165644
H,Transportation and Storage,Al Jawf,AJA,Investments,2015,195.18195217847685
I,Accommodation and food services activities,Al Jawf,AJA,Investments,2015,255.0601462829676
J,Information and Communication,Al Jawf,AJA,Investments,2015,338.3431759828615
K,Financial and Insurance Activities,Al Jawf,AJA,Investments,2015,1271.3927632175269
L,Real Estate Activities,Al Jawf,AJA,Investments,2015,732.5345861376825
M,"Professional, Scientific and Technical Activities",Al Jawf,AJA,Investments,2015,223.62009430079164
N,Administrative and Support Service Activities,Al Jawf,AJA,Investments,2015,311.6332127932097
O,"Public administration, defense and compulsory social security",Al Jawf,AJA,Investments,2015,0.27508213260004677
P,Education,Al Jawf,AJA,Investments,2015,4.950838822946674
Q,Human Health and Social Work Activities,Al Jawf,AJA,Investments,2015,34.080427575079604
R,"Arts, entertainment and recreation",Al Jawf,AJA,Investments,2015,4.752491347128132
S,Other service activities,Al Jawf,AJA,Investments,2015,11.521788099860128
A,"Agriculture, forestry and fishing",Al Madinah al Munawwara,AMA,GDP,2015,0.0
B,Mining and quarrying,Al Madinah al Munawwara,AMA,GDP,2015,0.0
C,Manufacturing,Al Madinah al Munawwara,AMA,GDP,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Madinah al Munawwara,AMA,GDP,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Madinah al Munawwara,AMA,GDP,2015,0.0
F,Construction,Al Madinah al Munawwara,AMA,GDP,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Madinah al Munawwara,AMA,GDP,2015,0.0
H,Transportation and storage,Al Madinah al Munawwara,AMA,GDP,2015,0.0
I,Accommodation and food service activities,Al Madinah al Munawwara,AMA,GDP,2015,0.0
J,Information and communication,Al Madinah al Munawwara,AMA,GDP,2015,0.0
K,Financial and insurance activities,Al Madinah al Munawwara,AMA,GDP,2015,0.0
L,Real estate activities,Al Madinah al Munawwara,AMA,GDP,2015,0.0
M,"Professional, scientific and technical activities",Al Madinah al Munawwara,AMA,GDP,2015,0.0
N,Administrative and support service activities,Al Madinah al Munawwara,AMA,GDP,2015,0.0
O,Public administration and defense; compulsory social security,Al Madinah al Munawwara,AMA,GDP,2015,0.0
P,Education,Al Madinah al Munawwara,AMA,GDP,2015,0.0
Q,Human health and social work activities,Al Madinah al Munawwara,AMA,GDP,2015,0.0
R,"Arts, entertainment and recreation",Al Madinah al Munawwara,AMA,GDP,2015,0.0
S,Other service activities,Al Madinah al Munawwara,AMA,GDP,2015,0.0
T,Activities of households,Al Madinah al Munawwara,AMA,GDP,2015,0.0
A,"Agriculture, Forestry and Fishing",Al Madinah al Munawwara,AMA,Productivity,2015,0.0
B,Mining and quarrying,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
C,Manufacturing,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Madinah al Munawwara,AMA,Productivity,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Madinah al Munawwara,AMA,Productivity,2015,0.0
F,Construction,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
H,Transportation and storage,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
I,Accommodation and food service activities,Al Madinah al Munawwara,AMA,Productivity,2015,0.0
